1	2	3	4	5
2008	0	0	0	7690200.93
2007	0	0	0	7691797.549
2006	0	0	0	7695970.88
2005	0	0	0	7703077.979
2004	0	0	0	7713473.383
2003	0	0	0	7727503.088
2002	0	0	0	7745498.308
2001	0	0	0	7767769.143
2000	0	0	0	7794598.259
1999	0	0	0	7826234.72
1998	0	0	0	7862888.085
1997	0	0	0	7904722.895
1996	0	0	0	7951853.68
1995	8252479.294	7684686.412	8820272.176	8004340.571
1994	8263818.661	7696025.779	8831611.543	8062185.649
1993	8284752.654	7716959.771	8852545.536	8125330.097
1992	8315092.366	7747299.484	8882885.249	8193652.25
1991	8354554.771	7786761.888	8922347.653	8266966.592
1990	8402765.291	7834972.408	8970558.173	8345023.756
1989	8459261.565	7891468.683	9027054.448	8427511.554
1988	8523498.363	7955705.481	9091291.245	8514057.048
1987	8594853.615	8027060.733	9162646.497	8604229.65
1986	8672635.5	8104842.618	9240428.383	8697545.238
1985	8756090.505	8188297.622	9323883.387	8793471.226
1984	8844412.366	8276619.484	9412205.248	8891432.545
1983	8936751.791	8368958.908	9504544.673	8990818.435
1982	9032226.823	8464433.941	9600019.706	9090989.974
1981	9129933.728	8562140.846	9697726.61	9191288.212
1980	9228958.239	8661165.356	9796751.121	9291042.805
1979	9328387.02	8760594.137	9896179.902	9389581.003
1978	9427319.169	8859526.287	9995112.051	9486236.851
1977	9524877.604	8957084.722	10092670.49	9580360.458
1976	9620220.149	9052427.267	10188013.03	9671327.174
1975	9712550.165	9144757.282	10280343.05	9758546.527
1974	9801126.545	9233333.663	10368919.43	9841470.753
1973	9885272.932	9317480.049	10453065.81	9919602.793
1972	9964385.987	9396593.104	10532178.87	9992503.59
1971	10037942.6	9470149.718	10605735.48	10059798.57
1970	10105505.9	9537713.018	10673298.78	10121183.18
1969	10166729.97	9598937.086	10734522.85	10176427.37
1968	10221363.18	9653570.3	10789156.06	10225378.99
1967	10269250.12	9701457.234	10837043	10267965.87
1966	10310331.97	9742539.09	10878124.85	10304196.79
1965	10344645.53	9776852.647	10912438.41	10334161.05
1964	10372320.62	9804527.736	10940113.5	10358026.8
1963	10393576.18	9825783.296	10961369.06	10376038.13
1962	10408714.94	9840922.06	10976507.82	10388510.84
1961	10418116.85	9850323.972	10985909.74	10395827.16
1960	10422231.34	9854438.455	10990024.22	10398429.25
1959	10421568.53	9853775.645	10989361.41	10396811.85
1958	10416689.65	9848896.764	10984482.53	10391514.01
1957	10408196.68	9840403.796	10975989.56	10383110.07
1956	10396721.53	9828928.643	10964514.41	10372200.15
1955	10382914.85	9815121.968	10950707.73	10359400.17
1954	10367434.79	9799641.905	10935227.67	10345331.72
1953	10350935.73	9783142.852	10918728.62	10330611.79
1952	10334057.42	9766264.538	10901850.3	10315842.71
1951	10317414.44	9749621.562	10885207.33	10301602.38
1950	10301586.46	9733793.573	10869379.34	10288434.96
1949	10287109.16	9719316.282	10854902.05	10276842.2
1948	10274466.32	9706673.442	10842259.21	10267275.67
